0,1,2,3
単勝,12,560,2
複勝,12 3 1,190 110 390,3 1 7
枠連,2 - 6,590,2
馬連,3 - 12,690,2
ワイド,3 - 12 1 - 12 1 - 3,"290 1,640 700",2 22 6
馬単,12 → 3,1620,6
三連複,1 - 3 - 12,3360,12
三連単,12 → 3 → 1,15680,50
