0,1,2,3
単勝,13,160,1
複勝,13 3 11,110 350 470,1 5 7
枠連,2 - 7,790,4
馬連,3 - 13,1490,4
ワイド,3 - 13 11 - 13 3 - 11,"740 1,090 3,540",7 9 37
馬単,13 → 3,2350,6
三連複,3 - 11 - 13,8410,25
三連単,13 → 3 → 11,25350,70
