0,1,2,3
単勝,10,140,1
複勝,10 9 13,110 210 680,1 4 10
枠連,5 - 6,280,1
馬連,9 - 10,690,3
ワイド,9 - 10 10 - 13 9 - 13,"350 1,140 4,450",3 11 39
馬単,10 → 9,770,2
三連複,9 - 10 - 13,6810,24
三連単,10 → 9 → 13,13650,38
