0,1,2,3
単勝,11,1200,6
複勝,11 6 8,350 190 330,6 2 5
枠連,3 - 6,830,1
馬連,6 - 11,3560,12
ワイド,6 - 11 8 - 11 6 - 8,"1,160 1,560 1,080",11 16 10
馬単,11 → 6,8560,29
三連複,6 - 8 - 11,9620,28
三連単,11 → 6 → 8,70890,214
