0,1,2,3
単勝,6,960,5
複勝,6 3 10,"340 340 1,080",5 6 10
枠連,3 - 4,2310,13
馬連,3 - 6,4690,20
ワイド,3 - 6 6 - 10 3 - 10,"1,470 5,890 5,790",20 52 51
馬単,6 → 3,9880,42
三連複,3 - 6 - 10,76830,168
三連単,6 → 3 → 10,353160,762
