0,1,2,3
単勝,1,5290,9
複勝,1 8 4,820 180 730,8 2 7
枠連,1 - 6,7350,15
馬連,1 - 8,7820,18
ワイド,1 - 8 1 - 4 4 - 8,"2,010 6,130 2,090",18 33 20
馬単,1 → 8,22820,44
三連複,1 - 4 - 8,29720,57
三連単,1 → 8 → 4,226520,353
