0,1,2,3
単勝,15,460,1
複勝,15 11 6,"200 1,020 3,470",2 10 15
枠連,6 - 8,800,2
馬連,11 - 15,6880,25
ワイド,11 - 15 6 - 15 6 - 11,"2,940 13,260 34,180",31 72 95
馬単,15 → 11,11460,44
三連複,6 - 11 - 15,328280,293
三連単,15 → 11 → 6,2066090,1688
