0,1,2,3
単勝,5,300,2
複勝,5 1 7,110 110 110,3 2 1
枠連,1 - 5,560,3
馬連,1 - 5,590,3
ワイド,1 - 5 5 - 7 1 - 7,220 170 200,3 1 2
馬単,5 → 1,1100,5
三連複,1 - 5 - 7,380,1
三連単,5 → 1 → 7,2230,4
