0,1,2,3
単勝,3,440,2
複勝,3 1 4,160 160 370,1 2 8
枠連,1 - 3,1080,5
馬連,1 - 3,1020,1
ワイド,1 - 3 3 - 4 1 - 4,"390 1,170 1,280",1 19 20
馬単,3 → 1,1960,2
三連複,1 - 3 - 4,5510,25
三連単,3 → 1 → 4,23360,109
