0,1,2,3
単勝,11,1700,6
複勝,11 4 2,440 130 300,8 1 5
枠連,3 - 7,2360,8
馬連,4 - 11,2500,9
ワイド,4 - 11 2 - 11 2 - 4,"950 1,170 570",9 15 4
馬単,11 → 4,7270,25
三連複,2 - 4 - 11,4950,14
三連単,11 → 4 → 2,38030,112
