0,1,2,3
単勝,12,340,1
複勝,12 4 1,180 170 480,2 1 8
枠連,2 - 6,600,1
馬連,4 - 12,970,1
ワイド,4 - 12 1 - 12 1 - 4,"420 1,880 1,520",1 24 22
馬単,12 → 4,1860,1
三連複,1 - 4 - 12,6410,28
三連単,12 → 4 → 1,25890,97
