0,1,2,3
単勝,6,260,1
複勝,6 3 2,120 140 140,1 3 2
枠連,3 - 6,470,1
馬連,3 - 6,630,1
ワイド,3 - 6 2 - 6 2 - 3,250 250 320,1 2 3
馬単,6 → 3,1220,2
三連複,2 - 3 - 6,740,1
三連単,6 → 3 → 2,3560,1
