0,1,2,3
単勝,10,1740,5
複勝,10 1 17,350 520 270,5 7 4
枠連,1 - 5,6610,17
馬連,1 - 10,12460,32
ワイド,1 - 10 10 - 17 1 - 17,"3,210 1,580 2,160",28 16 20
馬単,10 → 1,31850,75
三連複,1 - 10 - 17,30670,87
三連単,10 → 1 → 17,163640,424
