0,1,2,3
単勝,5,770,3
複勝,5 15 1,200 170 260,3 2 5
枠連,3 - 8,1230,5
馬連,5 - 15,1670,6
ワイド,5 - 15 1 - 5 1 - 15,"610 1,030 840",6 12 9
馬単,5 → 15,4020,15
三連複,1 - 5 - 15,4610,12
三連単,5 → 15 → 1,28880,89
