0,1,2,3
単勝,4,650,3
複勝,4 3 1,210 160 360,3 2 7
枠連,3 - 4,1140,3
馬連,3 - 4,1250,3
ワイド,3 - 4 1 - 4 1 - 3,"530 1,390 950",3 18 13
馬単,4 → 3,3110,12
三連複,1 - 3 - 4,5240,22
三連単,4 → 3 → 1,25110,93
