0,1,2,3
単勝,9,280,1
複勝,9 2 11,"140 240 1,350",1 5 10
枠連,2 - 7,1140,4
馬連,2 - 9,1500,5
ワイド,2 - 9 9 - 11 2 - 11,"540 4,320 11,130",5 32 48
馬単,9 → 2,2160,6
三連複,2 - 9 - 11,34660,81
三連単,9 → 2 → 11,106490,302
