0,1,2,3
単勝,3,340,2
複勝,3 14 6,130 110 180,2 1 3
枠連,2 - 8,490,1
馬連,3 - 14,410,1
ワイド,3 - 14 3 - 6 6 - 14,210 460 410,1 3 2
馬単,3 → 14,980,2
三連複,3 - 6 - 14,1120,1
三連単,3 → 14 → 6,3980,3
