0,1,2,3
単勝,3,750,4
複勝,3 13 12,210 190 280,4 3 5
枠連,2 - 7,650,2
馬連,3 - 13,2510,6
ワイド,3 - 13 3 - 12 12 - 13,"830 1,040 1,150",6 11 15
馬単,3 → 13,5190,20
三連複,3 - 12 - 13,7580,24
三連単,3 → 13 → 12,42110,140
