0,1,2,3
単勝,8,170,1
複勝,8 1 3,110 350 480,1 7 8
枠連,1 - 5,1300,5
馬連,1 - 8,1350,4
ワイド,1 - 8 3 - 8 1 - 3,"430 830 3,180",2 8 31
馬単,8 → 1,1770,5
三連複,1 - 3 - 8,7390,22
三連単,8 → 1 → 3,19800,58
