着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,5,トロピカルストーム,セ3,53,坂井瑠星,2:41.3,,2.3,1,438(+4),[西] 西村真幸
2,8,13,アドルナメンテ,牝3,54,松岡正海,2:41.7,2.1/2,13.6,6,462(+4),[西] 須貝尚介
3,3,4,ギャツビー,牡3,56,北村友一,2:41.8,1/2,6.1,2,446(+2),[西] 鮫島一歩
4,1,1,メイショウルルド,牡3,56,吉田隼人,2:42.1,2,6.9,3,510(0),[西] 荒川義之
5,7,11,ワークショップ,牡3,55,加藤祥太,2:42.3,1.1/4,13.7,7,498(+2),[西] 石橋守
6,5,7,チーフコンダクター,牡3,56,柴山雄一,2:42.5,1.1/2,11.5,5,496(+6),[東] 上原博之
7,5,8,トウカイハッピー,牡3,56,勝浦正樹,2:42.6,クビ,31.7,9,490(+8),[西] 野中賢二
8,6,9,メディアルナ,牝3,52,長岡禎仁,2:42.6,クビ,8.0,4,428(-4),[東] 宗像義忠
9,4,6,シーザワールド,牡3,56,菱田裕二,2:42.7,1/2,17.5,8,506(+8),[西] 渡辺薫彦
10,8,14,マイネルシャウト,牡3,56,丹内祐次,2:42.8,3/4,56.4,12,514(-14),[西] 宮徹
11,3,3,マイネルピオネロ,牡3,56,丸山元気,2:43.1,1.3/4,99.5,13,496(0),[東] 田中剛
12,2,2,ソウマ,牡3,56,岩田康誠,2:44.9,大,53.8,11,480(-2),[東] 清水英克
13,7,12,ファントムジオペラ,牡3,56,ティータ,2:45.2,1.3/4,36.8,10,532(+2),[東] 菊川正達
14,6,10,サグラダファミリア,牝3,54,水口優也,2:51.9,大,176.5,14,442(+14),[西] 崎山博樹
