0,1,2,3
単勝,10,2260,8
複勝,10 7 8,"610 500 3,210",10 7 15
枠連,4 - 5,8390,24
馬連,7 - 10,9250,36
ワイド,7 - 10 8 - 10 7 - 8,"2,920 19,180 17,640",38 88 80
馬単,10 → 7,24350,81
三連複,7 - 8 - 10,252220,309
三連単,10 → 7 → 8,1408800,1660
