0,1,2,3
単勝,6,770,4
複勝,6 8 1,160 110 110,4 1 2
枠連,4 - 5,540,3
馬連,6 - 8,720,3
ワイド,6 - 8 1 - 6 1 - 8,260 370 170,3 5 1
馬単,6 → 8,2330,9
三連複,1 - 6 - 8,670,2
三連単,6 → 8 → 1,5380,15
