0,1,2,3
単勝,15,550,2
複勝,15 11 16,"180 1,610 200",2 12 3
枠連,6 - 8,1060,5
馬連,11 - 15,35020,52
ワイド,11 - 15 15 - 16 11 - 16,"8,140 550 5,160",51 5 41
馬単,15 → 11,43770,81
三連複,11 - 15 - 16,38340,87
三連単,15 → 11 → 16,267560,554
