0,1,2,3
単勝,7,710,3
複勝,7 2 1,160 220 110,3 5 1
枠連,2 - 7,5260,15
馬連,2 - 7,4850,17
ワイド,2 - 7 1 - 7 1 - 2,950 250 340,15 2 4
馬単,7 → 2,8770,24
三連複,1 - 2 - 7,1970,8
三連単,7 → 2 → 1,22760,75
