0,1,2,3
単勝,6,190,1
複勝,6 5 3,110 110 140,1 2 3
枠連,5 - 6,270,1
馬連,5 - 6,290,1
ワイド,5 - 6 3 - 6 3 - 5,150 260 380,1 3 5
馬単,6 → 5,440,1
三連複,3 - 5 - 6,540,2
三連単,6 → 5 → 3,1380,2
