0,1,2,3
単勝,9,250,1
複勝,9 7 4,110 190 130,1 5 2
枠連,4 - 5,1130,4
馬連,7 - 9,1320,5
ワイド,7 - 9 4 - 9 4 - 7,440 190 410,5 1 4
馬単,9 → 7,2000,7
三連複,4 - 7 - 9,1000,2
三連単,9 → 7 → 4,5890,8
