0,1,2,3
単勝,7,210,1
複勝,7 3 11,120 140 560,1 2 9
枠連,3 - 6,540,1
馬連,3 - 7,510,1
ワイド,3 - 7 7 - 11 3 - 11,"240 1,460 2,460",1 17 29
馬単,7 → 3,880,1
三連複,3 - 7 - 11,7070,26
三連単,7 → 3 → 11,21890,76
