0,1,2,3
単勝,9,260,1
複勝,9 7 10,120 230 210,1 5 3
枠連,6 - 7,340,1
馬連,7 - 9,1010,4
ワイド,7 - 9 9 - 10 7 - 10,370 400 880,2 3 11
馬単,9 → 7,1630,5
三連複,7 - 9 - 10,2280,6
三連単,9 → 7 → 10,8060,15
