着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,ダイシンクイント,牡2,55,福永祐一,2:03.3,,4.2,2,476(-10),[西] 森秀行
2,4,4,エスピリトゥオーゾ,牡2,55,藤岡佑介,2:03.3,クビ,2.7,1,448(+4),[西] 木原一良
3,8,11,タガノシャルドネ,牡2,54,鮫島克駿,2:03.3,ハナ,33.0,8,446(-10),[西] 川村禎彦
4,1,1,アドラメレク,牡2,55,浜中俊,2:03.4,1/2,6.7,3,452(-2),[西] 石坂正
5,5,5,ナムラボンド,牡2,52,三津谷隼,2:03.7,2,46.4,11,418(+4),[西] 目野哲也
6,3,3,エイシンフレイヤ,牝2,54,藤岡康太,2:04.0,1.3/4,16.0,7,430(-2),[西] 野中賢二
7,7,8,コパノカーニバル,牡2,55,古川吉洋,2:04.2,1.1/4,8.6,5,476(-6),[西] 田所秀孝
8,8,10,コスモカンナム,牡2,55,和田竜二,2:04.6,2.1/2,44.6,10,430(-2),[東] 高橋文雅
9,7,9,マイネルフェアネス,牡2,55,ヴェロン,2:05.8,7,8.1,4,496(0),[西] 宮徹
10,6,6,クリノハリウッド,牡2,55,松山弘平,2:06.5,4,9.3,6,430(-2),[西] 中村均
11,6,7,ローグナイト,牡2,55,石橋脩,2:07.4,5,39.2,9,494(-10),[西] 中竹和也
