0,1,2,3
単勝,6,230,1
複勝,6 2 1,120 250 230,1 5 4
枠連,1 - 3,420,1
馬連,2 - 6,1080,4
ワイド,2 - 6 1 - 6 1 - 2,430 400 940,4 3 12
馬単,6 → 2,1970,6
三連複,1 - 2 - 6,2330,6
三連単,6 → 2 → 1,10040,21
