0,1,2,3
単勝,2,830,3
複勝,2 10 6,270 370 320,3 5 4
枠連,1 - 5,2160,9
馬連,2 - 10,2850,11
ワイド,2 - 10 2 - 6 6 - 10,"1,020 1,480 1,670",12 15 17
馬単,2 → 10,6370,23
三連複,2 - 6 - 10,14020,38
三連単,2 → 10 → 6,74010,195
