0,1,2,3
単勝,1,510,3
複勝,1 5 4,170 150 360,3 1 6
枠連,1 - 3,360,1
馬連,1 - 5,600,1
ワイド,1 - 5 1 - 4 4 - 5,"300 1,270 850",1 16 8
馬単,1 → 5,1450,4
三連複,1 - 4 - 5,2830,5
三連単,1 → 5 → 4,14480,21
