0,1,2,3
単勝,14,820,5
複勝,14 1 15,220 310 150,4 7 1
枠連,1 - 7,4530,19
馬連,1 - 14,5780,21
ワイド,1 - 14 14 - 15 1 - 15,"1,530 380 760",19 2 7
馬単,14 → 1,11040,39
三連複,1 - 14 - 15,4020,11
三連単,14 → 1 → 15,30600,94
