着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,リゼレインボー,牡3,56,石橋脩,1:46.5,,2.4,1,478(-4),[東] 松山将樹
2,8,15,マヨン,牡3,56,三浦皇成,1:46.7,1.1/2,3.1,2,476(+8),[東] 武井亮
3,1,1,リュウキュウカリー,牡3,53,佐々木大,1:47.3,3.1/2,17.8,6,444(-4),[東] 大江原哲
4,8,14,ノーブルグレイシャ,牝3,54,武藤雅,1:47.7,2.1/2,8.5,3,470(+8),[東] 武藤善則
5,7,12,スプリームメロディ,牝3,54,柴田大知,1:47.8,1/2,336.8,14,432(-4),[東] 伊藤大士
6,2,3,パープライト,牡3,56,野中悠太,1:48.2,2,20.4,8,460(0),[東] 宮田敬介
7,5,9,リュウバター,牡3,56,丸田恭介,1:48.2,クビ,18.1,7,474(-2),[東] 佐藤吉勝
8,4,6,ロードマグマ,牡3,56,木幡巧也,1:48.4,3/4,64.1,11,452(-16),[東] 菊川正達
9,6,11,パーペチュイティ,牡3,56,津村明秀,1:48.9,3,12.6,4,582(+4),[東] 池上昌和
10,6,10,セイウンフィーバー,牡3,56,内田博幸,1:49.0,クビ,17.4,5,434(-6),[東] 尾形和幸
11,5,8,スクナ,牡3,56,原田和真,1:49.1,1/2,28.1,9,450(0),[東] 堀内岳志
12,2,2,インパチェンス,牡3,54,永野猛蔵,1:49.2,3/4,29.7,10,492(-2),[東] 小笠倫弘
13,4,7,ミヤビピオニー,牝3,52,藤田菜七,1:50.1,5,78.0,12,508(+2),[東] 高橋文雅
14,3,5,キタノブルーアレツ,牝3,54,木幡育也,1:50.3,3/4,95.6,13,452(-12),[東] 本間忍
15,7,13,ピースワンヴェリテ,牡3,56,嶋田純次,1:50.7,2.1/2,409.5,15,504(-2),[東] 大竹正博
