0,1,2,3
単勝,3,280,1
複勝,3 1 8,130 210 290,1 4 6
枠連,1 - 3,1040,4
馬連,1 - 3,1030,3
ワイド,1 - 3 3 - 8 1 - 8,"500 770 1,730",4 9 19
馬単,3 → 1,1360,4
三連複,1 - 3 - 8,3800,13
三連単,3 → 1 → 8,11640,30
