0,1,2,3
単勝,2,190,1
複勝,2 3 10,120 550 180,1 9 3
枠連,1 - 2,1600,6
馬連,2 - 3,3170,9
ワイド,2 - 3 2 - 10 3 - 10,"1,180 280 2,760",13 2 30
馬単,2 → 3,3810,12
三連複,2 - 3 - 10,5420,16
三連単,2 → 3 → 10,25040,68
