0,1,2,3
単勝,3,1100,5
複勝,3 13 5,280 350 190,6 7 2
枠連,3 - 8,3130,14
馬連,3 - 13,5520,23
ワイド,3 - 13 3 - 5 5 - 13,"1,510 900 960",22 11 12
馬単,3 → 13,11650,47
三連複,3 - 5 - 13,8930,34
三連単,3 → 13 → 5,74580,260
