0,1,2,3
単勝,3,740,4
複勝,3 6 5,160 160 110,3 4 1
枠連,3 - 4,620,3
馬連,3 - 6,1890,7
ワイド,3 - 6 3 - 5 5 - 6,520 340 250,7 3 2
馬単,3 → 6,3860,14
三連複,3 - 5 - 6,960,2
三連単,3 → 6 → 5,9040,28
