0,1,2,3
単勝,3,2360,9
複勝,3 7 11,610 550 340,9 8 4
枠連,2 - 4,1710,7
馬連,3 - 7,8340,30
ワイド,3 - 7 3 - 11 7 - 11,"2,670 2,760 2,850",27 28 29
馬単,3 → 7,27290,83
三連複,3 - 7 - 11,40770,116
三連単,3 → 7 → 11,433640,1008
