0,1,2,3
単勝,13,170,1
複勝,13 7 3,120 270 140,1 5 2
枠連,4 - 7,670,2
馬連,7 - 13,1600,3
ワイド,7 - 13 3 - 13 3 - 7,"590 230 1,110",4 1 14
馬単,13 → 7,1940,4
三連複,3 - 7 - 13,2180,2
三連単,13 → 7 → 3,8100,11
