0,1,2,3
単勝,8,660,3
複勝,8 9 10,200 270 240,3 5 4
枠連,6 - 6,3150,10
馬連,8 - 9,3170,12
ワイド,8 - 9 8 - 10 9 - 10,"1,110 910 1,260",12 10 14
馬単,8 → 9,5880,22
三連複,8 - 9 - 10,8200,28
三連単,8 → 9 → 10,46580,151
