0,1,2,3
単勝,2,1010,6
複勝,2 10 5,250 170 140,5 3 1
枠連,2 - 7,1440,7
馬連,2 - 10,2630,10
ワイド,2 - 10 2 - 5 5 - 10,840 620 360,9 4 1
馬単,2 → 10,5730,22
三連複,2 - 5 - 10,2190,2
三連単,2 → 10 → 5,18620,35
