0,1,2,3
単勝,11,380,1
複勝,11 3 2,160 230 180,2 4 3
枠連,2 - 6,1370,6
馬連,3 - 11,1890,5
ワイド,3 - 11 2 - 11 2 - 3,740 380 840,6 1 8
馬単,11 → 3,3290,7
三連複,2 - 3 - 11,2920,3
三連単,11 → 3 → 2,14030,14
