0,1,2,3
単勝,12,2640,9
複勝,12 16 10,620 260 310,8 4 5
枠連,6 - 8,3600,15
馬連,12 - 16,7610,26
ワイド,12 - 16 10 - 12 10 - 16,"2,070 3,020 800",24 32 6
馬単,12 → 16,20710,63
三連複,10 - 12 - 16,21320,67
三連単,12 → 16 → 10,191150,544
