0,1,2,3
単勝,1,160,1
複勝,1 12 9,110 270 280,1 4 5
枠連,1 - 6,1060,4
馬連,1 - 12,1030,3
ワイド,1 - 12 1 - 9 9 - 12,"510 520 2,120",3 4 23
馬単,1 → 12,1360,3
三連複,1 - 9 - 12,3980,13
三連単,1 → 12 → 9,10150,21
