0,1,2,3
単勝,2,340,1
複勝,2 13 9,170 190 360,1 2 7
枠連,2 - 8,590,1
馬連,2 - 13,1420,3
ワイド,2 - 13 2 - 9 9 - 13,"580 1,530 1,520",2 19 18
馬単,2 → 13,2660,5
三連複,2 - 9 - 13,7900,23
三連単,2 → 13 → 9,33140,81
